,date,country,total_cases_predict,total_cases_real,total_deaths_predict,total_deaths_real,error_abs_cases,error_abs_deaths
466,2020-05-26,World,5484451.0,5459526.0,349227.0,345994.0,24925.0,3233.0
467,2020-05-26,United Kingdom,262800.0,261184.0,37105.0,36914.0,1616.0,191.0
468,2020-05-26,Germany,179060.0,179002.0,8281.0,8302.0,58.0,-21.0
469,2020-05-26,Iran,137684.0,137724.0,7482.0,7451.0,-40.0,31.0
470,2020-05-26,Turkey,157941.0,157814.0,4369.0,4369.0,127.0,0.0
471,2020-05-26,Brazil,384674.0,374898.0,23774.0,23473.0,9776.0,301.0
472,2020-05-27,France,145457.0,145555.0,28486.0,28530.0,-98.0,-44.0
473,2020-05-27,China,84171.0,84103.0,4655.0,4638.0,68.0,17.0
474,2020-05-27,Italy,230789.0,230555.0,32945.0,32955.0,234.0,-10.0
475,2020-05-26,Spain,235879.0,236259.0,26614.0,27117.0,-380.0,-503.0
476,2020-05-27,United States,1684896.0,1681212.0,98762.0,98916.0,3684.0,-154.0
477,2020-05-27,World,5568119.0,5555708.0,347524.0,350212.0,12411.0,-2688.0
478,2020-05-27,United Kingdom,263885.0,265227.0,37078.0,37048.0,-1342.0,30.0
479,2020-05-27,Germany,179368.0,179364.0,8317.0,8349.0,4.0,-32.0
480,2020-05-27,Iran,139969.0,139511.0,7516.0,7508.0,458.0,8.0
481,2020-05-27,Turkey,158885.0,158762.0,4398.0,4397.0,123.0,1.0
482,2020-05-27,Brazil,393596.0,391222.0,24369.0,24512.0,2374.0,-143.0
483,2020-05-28,France,145900.0,145746.0,28612.0,28596.0,154.0,16.0
484,2020-05-28,China,84168.0,84106.0,4654.0,4638.0,62.0,16.0
485,2020-05-28,Italy,230971.0,231139.0,33063.0,33072.0,-168.0,-9.0
486,2020-05-27,Spain,235969.0,236769.0,25252.0,27118.0,-800.0,-1866.0
487,2020-05-28,United States,1702439.0,1699933.0,99451.0,100442.0,2506.0,-991.0
488,2020-05-28,World,5660575.0,5656615.0,354107.0,355355.0,3960.0,-1248.0
489,2020-05-28,United Kingdom,267325.0,267240.0,37215.0,37460.0,85.0,-245.0
490,2020-05-28,Germany,179859.0,179717.0,8393.0,8411.0,142.0,-18.0
491,2020-05-28,Iran,141644.0,141591.0,7552.0,7564.0,53.0,-12.0
492,2020-05-28,Turkey,159691.0,158762.0,4423.0,4397.0,929.0,26.0
493,2020-05-28,Brazil,407634.0,411821.0,25551.0,25598.0,-4187.0,-47.0
494,2020-05-29,France,146011.0,149071.0,28691.0,28662.0,-3060.0,29.0
495,2020-05-29,China,84169.0,84106.0,4654.0,4638.0,63.0,16.0
