,date,country,total_cases_predict,total_cases_real,total_deaths_predict,total_deaths_real,error_abs_cases,error_abs_deaths
0,2020-05-25,France,145181.0,144921.0,28408.0,28367.0,260.0,41.0
1,2020-05-25,China,84151.0,84095.0,4655.0,4638.0,56.0,17.0
2,2020-05-25,Italy,230069.0,229858.0,32879.0,32785.0,211.0,94.0
3,2020-05-24,Spain,236992.0,235772.0,29335.0,28752.0,1220.0,583.0
4,2020-05-25,United States,1648540.0,1643238.0,98338.0,97720.0,5302.0,618.0
5,2020-05-25,World,5389479.0,5371700.0,346793.0,344815.0,17779.0,1978.0
6,2020-05-25,United Kingdom,257154.0,259559.0,36730.0,36793.0,-2405.0,-63.0
7,2020-05-25,Germany,178961.0,178570.0,8284.0,8257.0,391.0,27.0
8,2020-05-25,Iran,135864.0,135701.0,7418.0,7417.0,163.0,1.0
9,2020-05-25,Turkey,156578.0,156827.0,4332.0,4340.0,-249.0,-8.0
10,2020-05-25,Brazil,369665.0,363211.0,23203.0,22666.0,6454.0,537.0
